Image Name,Item,Description,Disclaimer
,Appleaauce Cake with Cinnamon Crunch topping,,
,Banana Cake,,
,Black Velvet Cake,,
,CARROR CAKE with ermine frosting,,"Sorry, Cottage Food proclaimed that this can’t use cream cheese frosting as it would then need to be refrigerated"
,Devil’s Food,,
,Double Chocolate Paw Prints,Chocolate fudgey cakey cookie are cutey with paw print formed by chocolate chips,
biscoff.png,Homemade Biscoff buscuit,"Spicy, crunchy, buttery cookies with the right amount of sweets.  These spice cookies are from Belgium and are now popular all over the world thanks to Delta airlines.",
,Lamond Chip Cookies,"Outstanding Chocolate ship cookie, which has receive multi blue ribbon.  Everyone’s favorite chip cookie",
mexican-hot-chocolate.png,Mexican Hot Chocolate Cookies,"A moist and tender cookie with was rolled in cinnamon sugar, then sprinted with more cinnamon fresh out of the oven.  Also called Chocolate Snickerdooles.  Perfect chocolate & cinnamon combo.",
,Peanut Butter Drop Cookies,"Favorite Recipe from Minneapolis Convention Center.  Soft, Chewy peanut butter",
,Shortbread,Scottish shortbread cookies are prefect for any occasion.  Their light buttery flavor has been enjoyed for centuries.  Rumor has it this version is better than walker’sTM.,
,Snickerdooles,,
,Spice Cake,,
,Sugar Cookies with glaze icing,"Buttery Sugar cookie formed into shapes, covered with powder sugar icing",
,Wedding cake (White Cake with Almond flavor),,
